City,Health,Stress,2013 Expenses,Historical Average
"St. John's, Newfoundland and Labrador",61.9,10.2,74701,69769.66667
"Halifax, Nova Scotia",57.8,22.3,69172,70300
"Moncton, New Brunswick",49.8,19.6,65150,
"Saint John, New Brunswick",60.8,25.7,65150,70922
"Saguenay, Quebec",57.5,22.6,68684,
"Québec, Quebec",65.8,31.3,68684,64053
"Sherbrooke, Quebec",66.9,27.3,68684,
"Trois-Rivières, Quebec",51,37,68684,
"Montréal, Quebec",57.8,29.5,68684,62390
"Ottawa-Gatineau, Ontario/Quebec",61.1,27.2,82267,
"Ottawa-Gatineau, Quebec part",58,34.7,82267,
"Ottawa-Gatineau, Ontario part",62.1,24.7,82267,
"Kingston, Ontario",64.7,17.2,82267,
"Peterborough, Ontario",66.5,25.7,82267,
"Oshawa, Ontario",61.6,27.1,82267,
"Toronto, Ontario",55.6,28.4,82267,85358
"Hamilton, Ontario",54.8,27.8,82267,
"St. Catharines-Niagara, Ontario",58.2,26.8,82267,
"Kitchener-Cambridge-Waterloo, Ontario",54.2,35.2,82267,
"Brantford, Ontario",57.9,26.4,82267,
"Guelph, Ontario",60.3,28.8,82267,
"London, Ontario",59.1,25.1,82267,
"Windsor, Ontario",56.6,23.7,82267,
"Barrie, Ontario",58.4,33.9,82267,
"Greater Sudbury, Ontario",54.9,20.6,82267,
"Thunder Bay, Ontario",65.7,19.1,82267,
"Winnipeg, Manitoba",54.3,24.4,72695,66700
"Regina, Saskatchewan",58.6,20.1,78587,73034.66667
"Saskatoon, Saskatchewan",55.7,20.6,78587,75215
"Calgary, Alberta",65.4,28.4,101554,93045.33333
"Edmonton, Alberta",54.5,30.8,101554,85917
"Kelowna, British Columbia",61.1,21.1,78414,
"Abbotsford-Mission, British Columbia",43,29.8,78414,
"Vancouver, British Columbia",55,25.4,78414,75453
"Victoria, British Columbia",60.5,30.5,78414,84515
